month,applications,processing_fee_revenue,total_disbursed,avg_emi
2025-01,10,309129.10000000003,20608607.02,59024.0
2025-02,15,428207.26,28547151.12,50989.0
2025-03,14,322189.29,21479285.53,35190.0
2025-04,15,419531.72000000003,27968781.25,43539.0
2025-05,20,484548.10000000003,32303207.22,37198.0
2025-06,23,580961.58,38730772.47,42844.0
2025-07,18,455321.7,30354778.09,37075.0
2025-08,7,197810.09,13187339.02,40947.0
2025-09,15,376979.3,25131954.09,35676.0
2025-10,20,486416.98,32427797.96,40048.0
2025-11,25,611212.61,40747506.56,36997.0
2025-12,18,371994.45,24799629.65,30096.0
2026-01,12,338248.83999999997,22549923.73,39473.0
2026-02,28,774013.48,51600897.11,38412.0
2026-03,16,293270.2,19551346.78,29069.0
2026-04,13,288545.27,19236350.9,33131.0
2026-05,21,508717.13,33914476.0,34973.0
2026-06,2,46316.28,3087752.09,39552.0
