month,policies,premium_collected,commission_earned
2025-01,4,219659.0,27560.0
2025-02,16,865180.0,110660.0
2025-03,9,429009.0,56046.0
2025-04,11,616211.0,72014.0
2025-05,11,603620.0,76142.0
2025-06,13,707530.0,90163.0
2025-07,14,752455.0,92292.0
2025-08,7,375126.0,44687.0
2025-09,7,399297.0,50206.0
2025-10,15,788280.0,100430.0
2025-11,12,556049.0,69330.0
2025-12,11,591834.0,73871.0
2026-01,11,618264.0,78951.0
2026-02,15,769478.0,99802.0
2026-03,18,834236.0,102545.0
2026-04,6,243824.0,30990.0
2026-05,13,622623.0,77683.0
2026-06,7,392752.0,48449.0
