month,sales_revenue,service_revenue,insurance_commission,finance_revenue,total_revenue
2025-01,10970207.0,271979.0,27560.0,309129.0,11578875.0
2025-02,37541413.0,129039.0,110660.0,428207.0,38209319.0
2025-03,19006527.0,159992.0,56046.0,322189.0,19544755.0
2025-04,28307008.0,229812.0,72014.0,419532.0,29028367.0
2025-05,25411506.0,289958.0,76142.0,484548.0,26262154.0
2025-06,29960002.0,265345.0,90163.0,580962.0,30896471.0
2025-07,33967254.0,307010.0,92292.0,455322.0,34821877.0
2025-08,16445967.0,207797.0,44687.0,197810.0,16896262.0
2025-09,17161603.0,196957.0,50206.0,376979.0,17785745.0
2025-10,33516268.0,305836.0,100430.0,486417.0,34408952.0
2025-11,25836974.0,197271.0,69330.0,611213.0,26714787.0
2025-12,26690104.0,249878.0,73871.0,371994.0,27385847.0
2026-01,25905646.0,153775.0,78951.0,338249.0,26476621.0
2026-02,36056048.0,190484.0,99802.0,774013.0,37120348.0
2026-03,37614137.0,199695.0,102545.0,293270.0,38209648.0
2026-04,10957997.0,279925.0,30990.0,288545.0,11557457.0
2026-05,27379050.0,228036.0,77683.0,508717.0,28193486.0
2026-06,16304453.0,193761.0,48449.0,46316.0,16592980.0
