month,total_jobs,completed_revenue,estimated_revenue,avg_ticket_size
2025-01,25,271979.19,256120.92,15110.0
2025-02,15,129038.56000000001,132060.95,16130.0
2025-03,20,159992.24,150875.5,13333.0
2025-04,23,229812.39,236018.07,12767.0
2025-05,26,289957.72,282761.09,14498.0
2025-06,24,265344.94,246240.05,14741.0
2025-07,33,307009.86,301945.21,12792.0
2025-08,25,207797.38,207795.02,12223.0
2025-09,21,196957.3,192218.71,13130.0
2025-10,30,305836.45,285801.43,13297.0
2025-11,20,197271.41,188047.18,13151.0
2025-12,26,249878.15,223044.13,16659.0
2026-01,14,153774.52,138326.27,12815.0
2026-02,14,190484.21,180609.71,14653.0
2026-03,21,199695.4,187265.24,15361.0
2026-04,25,279924.64,261666.87,14733.0
2026-05,23,228035.51,214364.21,16288.0
2026-06,15,193760.96,194196.25,14905.0
