month,total_bookings,active_bookings,cancelled,total_booking_amount
2025-01,15,15,0,800000.0
2025-02,25,24,1,1525000.0
2025-03,17,16,1,1225000.0
2025-04,19,19,0,1275000.0
2025-05,13,13,0,850000.0
2025-06,24,24,0,1600000.0
2025-07,23,20,3,1500000.0
2025-08,11,11,0,650000.0
2025-09,20,17,3,1100000.0
2025-10,25,24,1,1300000.0
2025-11,29,28,1,1800000.0
2025-12,15,15,0,1050000.0
2026-01,20,19,1,1150000.0
2026-02,27,25,2,1650000.0
2026-03,29,27,2,1675000.0
2026-04,13,12,1,900000.0
2026-05,24,24,0,1400000.0
2026-06,11,9,2,900000.0
