income_bracket,model_name,purchases,avg_spent
10-15 LPA,Creta,20,2604135.0
10-15 LPA,Venue,12,1865350.0
10-15 LPA,Verna,8,2224112.0
10-15 LPA,i20,5,2020310.0
10-15 LPA,i10,5,2188712.0
10-15 LPA,Alcazar,5,2921034.0
10-15 LPA,Tucson,3,5026441.0
10-15 LPA,Exter,2,1678054.0
15-25 LPA,Creta,16,2622822.0
15-25 LPA,i10,6,2357822.0
15-25 LPA,Venue,5,1751846.0
15-25 LPA,i20,3,1278525.0
15-25 LPA,Verna,3,2298323.0
15-25 LPA,Exter,2,1340060.0
25-40 LPA,Creta,9,2633426.0
25-40 LPA,Venue,2,1529350.0
25-40 LPA,Exter,2,1414061.0
25-40 LPA,i20,1,1269557.0
25-40 LPA,i10,1,1971429.0
25-40 LPA,Verna,1,2805698.0
25-40 LPA,Tucson,1,4298334.0
5-10 LPA,Creta,18,2580549.0
5-10 LPA,Venue,14,1750252.0
5-10 LPA,Verna,11,2127205.0
5-10 LPA,i20,8,2159959.0
5-10 LPA,Exter,4,1407757.0
5-10 LPA,Tucson,3,4964693.0
5-10 LPA,i10,2,1338020.0
5-10 LPA,Alcazar,2,2806267.0
< 5 LPA,Creta,7,2311361.0
< 5 LPA,i20,4,1535850.0
< 5 LPA,Venue,2,1704022.0
< 5 LPA,Exter,2,1370430.0
< 5 LPA,Alcazar,2,3084838.0
< 5 LPA,i10,1,2164366.0
> 40 LPA,i20,3,1563396.0
> 40 LPA,Creta,3,2661517.0
> 40 LPA,Venue,1,2088385.0
> 40 LPA,Alcazar,1,2456994.0
