item_id,ro_id,item_type,item_name,quantity,unit_price,total_price,technician_id,created_at
1,1,Labour,Denting Labour,1,3032.7,3032.7,15,2026-06-16
2,1,Part,Bumper,2,909.81,1819.62,14,2026-06-16
3,1,Consumable,Paint & Polish,2,909.81,1819.62,17,2026-06-16
4,1,Part,Fender,1,1213.08,1213.08,16,2026-06-16
5,1,Part,Headlight Assembly,2,606.54,1213.08,14,2026-06-16
6,3,Part,Clutch Plate,3,580.9,1742.7,16,2026-06-16
7,3,Labour,Repair Labour,1,2323.6,2323.6,16,2026-06-16
8,3,Labour,Diagnostic Labour,1,2323.6,2323.6,17,2026-06-16
9,3,Part,Brake Pads,1,2323.6,2323.6,14,2026-06-16
10,3,Part,Battery,1,1742.7,1742.7,17,2026-06-16
11,4,Part,Oil Filter,1,1110.64,1110.64,16,2026-06-16
12,4,Part,Spark Plugs,2,888.51,1777.02,17,2026-06-16
13,4,Consumable,Grease & Lubricants,2,1332.77,2665.54,15,2026-06-16
14,4,Consumable,Brake Fluid,3,370.21,1110.63,15,2026-06-16
15,5,Part,Oil Filter,1,553.28,553.28,15,2026-06-16
16,5,Labour,Washing & Polishing,1,1106.56,1106.56,15,2026-06-16
17,5,Part,Cabin Filter,1,553.28,553.28,17,2026-06-16
18,5,Oil,Engine Oil 5W-30,2,829.92,1659.84,14,2026-06-16
19,6,Part,Cabin Filter,3,34.54,103.62,17,2026-06-16
20,6,Consumable,Coolant,3,34.54,103.62,16,2026-06-16
21,6,Consumable,Brake Fluid,3,34.54,103.62,14,2026-06-16
22,6,Oil,Engine Oil 5W-30,3,103.62,310.86,14,2026-06-16
23,6,Part,Oil Filter,1,103.62,103.62,17,2026-06-16
24,6,Labour,Washing & Polishing,1,207.25,207.25,17,2026-06-16
25,8,Part,Warranty Part Replacement,2,4613.33,9226.66,17,2026-06-16
26,8,Consumable,Sealants & Gaskets,3,2196.82,6590.46,14,2026-06-16
27,8,Labour,Warranty Labour,1,10544.74,10544.74,14,2026-06-16
28,9,Labour,Diagnostic Labour,1,3942.21,3942.21,15,2026-06-16
29,9,Part,Brake Pads,2,1971.11,3942.22,15,2026-06-16
30,9,Consumable,Wiring & Connectors,2,985.55,1971.1,17,2026-06-16
31,9,Part,Battery,1,2956.66,2956.66,15,2026-06-16
32,9,Labour,Repair Labour,1,3942.21,3942.21,16,2026-06-16
33,10,Part,Oil Filter,2,350.07,700.14,14,2026-06-16
34,10,Labour,Washing & Polishing,1,1400.3,1400.3,15,2026-06-16
35,10,Oil,Engine Oil 5W-30,2,1050.22,2100.44,17,2026-06-16
36,10,Consumable,Coolant,2,350.07,700.14,14,2026-06-16
37,11,Oil,Engine Oil 5W-30,3,315.95,947.85,14,2026-06-16
38,11,Labour,Washing & Polishing,1,631.89,631.89,15,2026-06-16
39,11,Part,Oil Filter,3,105.32,315.96,16,2026-06-16
40,11,Part,Air Filter,3,105.32,315.96,17,2026-06-16
41,11,Consumable,Brake Fluid,3,105.32,315.96,16,2026-06-16
42,12,Part,Oil Filter,2,183.55,367.1,15,2026-06-16
43,12,Labour,Washing & Polishing,1,734.2,734.2,16,2026-06-16
